feature,abs_coef
submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,0.3832913368109559
submand_R__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.18893087779957202
submand__sym__absdiff__ct__wavelet-HHL_glszm_SizeZoneNonUniformity,0.026703662545175255
parotid_R__ct__wavelet-LLH_glcm_Id,0.02359163362039905
submand__sym__absdiff__ct__log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.4134454600777725
submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceEntropy,0.24060376579744763
parotid__sym__min__ct__wavelet-HLL_ngtdm_Contrast,0.41697384601042703
parotid__sym__absdiff__ct__wavelet-LLH_glszm_ZoneVariance,0.07971358337063413
parotid_R__ct__wavelet-LLH_glrlm_RunVariance,0.09052189412958773
parotid__sym__min__ct__wavelet-HHH_glszm_GrayLevelNonUniformity,0.04589685302106762
submand__sym__min__ct__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.1549857117309438
submand__sym__absdiff__ct__wavelet-LHH_glcm_ClusterProminence,0.19229495517871348
submand_L__ct__wavelet-HHL_glszm_GrayLevelNonUniformity,0.059729125597494694
parotid__sym__min__ct__wavelet-LHH_firstorder_Median,0.10505430159394706
submand__sym__absdiff__ct__wavelet-LHH_glcm_ClusterTendency,0.17002197757965182
submand__sym__absratio__ct__original_glcm_ClusterShade,0.11236122692613448
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_firstorder_Range,0.37236937631503814
parotid__sym__absdiff__ct__wavelet-HHH_glcm_Imc2,0.06300084635593203
submand__sym__reldiff__ct__original_shape_Maximum2DDiameterSlice,0.12602753016325666
submand__sym__absratio__ct__original_firstorder_Maximum,0.036855731200989165
parotid_L__ct__wavelet-HLH_glszm_LargeAreaEmphasis,0.05364189802341312
parotid_R__ct__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.42743064641309536
parotid__sym__absdiff__ct__log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.1358465247305881
submand_R__ct__wavelet-HHL_glcm_MaximumProbability,0.04237057330425906
submand__sym__absdiff__ct__wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.01760039551862425
submand_L__ct__wavelet-HHH_glcm_ClusterShade,0.0004934535742780989
submand_L__ct__wavelet-HHH_glcm_Autocorrelation,0.06596156585021334
submand_L__ct__wavelet-HHH_glcm_JointAverage,0.014883193187759026
