feature,abs_coef
ct__submand__submand__sym__max__ct__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.27603529007342914
ct__submand__submand__sym__reldiff__ct__original_glszm_SmallAreaHighGrayLevelEmphasis,0.19209588094928767
ct__submand__submand__sym__max__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.303106739216761
ct__submand__submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.15013660714010182
ct__submand__submand__sym__mean__ct__wavelet-LHH_firstorder_Skewness,0.16115298754724466
ct__submand__submand__sym__absdiff__ct__wavelet-LHL_glszm_LargeAreaEmphasis,0.10591919872207932
ct__submand__submand_R__ct__wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.04193761534776133
ct__submand__submand__sym__diff__ct__original_firstorder_Kurtosis,0.25224062831050376
ct__parotid__parotid__sym__min__ct__wavelet-LHH_firstorder_Median,0.08806041373889593
ct__parotid__parotid_L__ct__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.25196586242044167
ct__submand__submand__sym__absdiff__ct__wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.31815424811219595
ct__submand__submand__sym__absdiff__ct__wavelet-HLL_gldm_DependenceNonUniformity,0.15930997259013188
ct__submand__submand_R__ct__log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.13785608521358897
ct__submand__submand__sym__max__ct__wavelet-HHL_glszm_SmallAreaEmphasis,0.3415169099620415
ct__submand__submand__sym__mean__ct__original_gldm_SmallDependenceEmphasis,0.25025009715735247
ct__submand__submand__sym__absratio__ct__original_firstorder_Skewness,0.3245327141019477
ct__parotid__parotid_R__ct__wavelet-LHL_glszm_ZoneEntropy,0.10150836674022036
ct__parotid__parotid__sym__min__ct__wavelet-HHH_glszm_GrayLevelNonUniformity,0.037878814388520365
ct__submand__submand__sym__max__ct__wavelet-LHH_firstorder_Skewness,0.14658479927133455
ct__parotid__parotid_R__ct__wavelet-HLL_glszm_GrayLevelNonUniformity,0.08403211155872059
ct__submand__submand__sym__diff__ct__original_glszm_ZonePercentage,0.1302063333685175
ct__submand__submand__sym__reldiff__ct__original_ngtdm_Contrast,0.1862768218704925
ct__parotid__parotid_L__ct__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformity,0.04078282205869341
ct__submand__submand_R__ct__wavelet-HLH_firstorder_Skewness,0.033337553159127564
ct__submand__submand__sym__max__ct__wavelet-HLL_glcm_InverseVariance,0.14147210143285202
ct__submand__submand__sym__min__ct__wavelet-LHL_firstorder_Kurtosis,0.017277265343601828
ct__submand__submand__sym__min__ct__original_glszm_SizeZoneNonUniformityNormalized,0.198850368303272
ct__parotid__parotid_R__ct__wavelet-LHH_glcm_MaximumProbability,0.07191270101580706
ct__submand__submand__sym__absdiff__ct__log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.20315627189168187
ct__submand__submand_R__ct__log-sigma-1-0-mm-3D_glcm_Idmn,0.2646249604545451
ct__submand__submand__sym__mean__ct__wavelet-HLH_firstorder_Energy,0.06034996874581785
ct__submand__submand__sym__max__ct__original_firstorder_Skewness,0.010570181506461954
ct__submand__submand__sym__absdiff__ct__wavelet-LLL_gldm_LowGrayLevelEmphasis,0.0575290352742942
ct__submand__submand_R__ct__wavelet-HLL_firstorder_Maximum,0.011233453919775762
