feature,abs_coef
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glcm_MCC,0.5266442203583843
submand__sym__mean__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.053285805776686596
submand__sym__max__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.15199026983865202
parotid__sym__min__dose__wavelet-HLH_glszm_SizeZoneNonUniformity,0.15647533713729844
parotid__sym__absdiff__dose__wavelet-HHL_firstorder_Mean,0.4760982510971712
submand__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Imc1,0.21681436403037846
parotid__sym__max__dose__original_firstorder_Kurtosis,0.005376652567496452
submand__sym__absdiff__dose__wavelet-LHL_glrlm_RunVariance,0.19015109900429622
parotid_L__dose__wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.1506124912314178
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glcm_Imc2,0.018714106837639657
submand__sym__min__dose__wavelet-LLH_glcm_Idmn,0.2802541092181875
parotid_R__dose__wavelet-LLH_glcm_MCC,0.022346828668118858
parotid_R__dose__wavelet-HLH_glcm_SumEntropy,0.013117952135380993
parotid_R__dose__original_firstorder_Range,0.056212352659263574
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.1020881166788216
parotid__sym__absdiff__dose__wavelet-LLH_glszm_GrayLevelVariance,0.08079723905816272
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.3099548450864167
parotid__sym__reldiff__dose__original_gldm_LowGrayLevelEmphasis,0.12814557117272382
parotid__sym__absdiff__dose__wavelet-HHH_glcm_JointEnergy,0.1427513766198787
parotid_L__dose__wavelet-LLL_firstorder_Kurtosis,0.10365946403777526
submand__sym__absdiff__dose__original_glszm_ZonePercentage,0.11735599700627068
parotid__sym__reldiff__dose__original_glcm_JointEntropy,0.03692725968537569
submand__sym__min__dose__wavelet-LLH_ngtdm_Strength,0.11901540156631824
submand__sym__min__dose__wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.07846740269025185
parotid__sym__min__dose__wavelet-HLH_glcm_ClusterProminence,0.2609811626143828
submand__sym__min__dose__log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.005502350399428589
parotid__sym__max__dose__wavelet-HHL_glcm_MaximumProbability,0.10681000445228911
parotid_R__dose__original_glszm_SmallAreaHighGrayLevelEmphasis,0.21392425118852462
parotid__sym__absdiff__dose__original_glrlm_GrayLevelNonUniformityNormalized,0.12993826742579714
submand__sym__absdiff__dose__wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.20756894719513014
submand__sym__absdiff__dose__original_shape_MajorAxisLength,0.336283165342027
parotid_R__dose__wavelet-HHH_glcm_ClusterShade,0.2756388228137024
parotid__sym__max__dose__wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.1851859752489929
parotid__sym__absdiff__dose__wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.14854205178428806
submand__sym__absdiff__dose__wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.10569185366333074
submand__sym__diff__dose__original_firstorder_90Percentile,0.043866499901917384
submand__sym__mean__dose__wavelet-LHL_glcm_Correlation,0.02291975496809368
parotid__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaEmphasis,0.08090974839809209
parotid__sym__min__dose__original_firstorder_Range,0.09538724388573781
parotid_R__dose__wavelet-HHH_gldm_LowGrayLevelEmphasis,0.19538731913020285
submand_L__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.0169623972151101
