feature,count,freq
parotid__sym__absdiff__dose__wavelet-HHL_firstorder_Mean,5,1.0
parotid__sym__reldiff__dose__original_glcm_JointEntropy,5,1.0
submand_L__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,5,1.0
submand_L__dose__wavelet-HHH_glszm_GrayLevelVariance,5,1.0
submand__sym__max__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,5,1.0
parotid_L__dose__wavelet-LLL_firstorder_Kurtosis,4,0.8
parotid__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_MCC,4,0.8
parotid__sym__absdiff__dose__wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,4,0.8
parotid__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaEmphasis,4,0.8
submand_L__dose__wavelet-HHL_glszm_SmallAreaEmphasis,4,0.8
submand__sym__absdiff__dose__wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,4,0.8
parotid_L__dose__wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,3,0.6
parotid__sym__absdiff__dose__log-sigma-2-0-mm-3D_glcm_MCC,3,0.6
parotid__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,3,0.6
parotid__sym__absdiff__dose__wavelet-LLL_glcm_Correlation,3,0.6
parotid__sym__min__dose__original_firstorder_Range,3,0.6
parotid__sym__reldiff__dose__original_gldm_LargeDependenceLowGrayLevelEmphasis,3,0.6
submand_R__dose__wavelet-HHH_glszm_ZonePercentage,3,0.6
submand_R__dose__wavelet-LHL_firstorder_Skewness,3,0.6
submand__sym__absdiff__dose__log-sigma-1-0-mm-3D_ngtdm_Coarseness,3,0.6
submand__sym__absdiff__dose__log-sigma-3-0-mm-3D_glcm_Imc1,3,0.6
submand__sym__absdiff__dose__wavelet-HHH_glcm_Imc2,3,0.6
submand__sym__absdiff__dose__wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,3,0.6
submand__sym__absdiff__dose__wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,3,0.6
submand__sym__absratio__dose__original_firstorder_Median,3,0.6
submand__sym__max__dose__original_shape_Sphericity,3,0.6
submand__sym__mean__dose__wavelet-HHH_glszm_ZoneVariance,3,0.6
submand__sym__min__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,3,0.6
submand__sym__min__dose__log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,3,0.6
submand__sym__min__dose__wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,3,0.6
submand__sym__min__dose__wavelet-LLH_ngtdm_Strength,3,0.6
parotid_L__dose__log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
parotid_L__dose__original_firstorder_Kurtosis,2,0.4
parotid_L__dose__wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
parotid_L__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,2,0.4
parotid_R__dose__original_firstorder_Range,2,0.4
parotid__sym__absdiff__dose__original_glcm_MCC,2,0.4
parotid__sym__absdiff__dose__original_glrlm_GrayLevelNonUniformityNormalized,2,0.4
parotid__sym__absdiff__dose__wavelet-HHH_glcm_JointEnergy,2,0.4
parotid__sym__absdiff__dose__wavelet-HLL_glrlm_LongRunEmphasis,2,0.4
parotid__sym__absdiff__dose__wavelet-LHH_glcm_SumEntropy,2,0.4
parotid__sym__absdiff__dose__wavelet-LHL_firstorder_Kurtosis,2,0.4
parotid__sym__absdiff__dose__wavelet-LLH_glszm_GrayLevelVariance,2,0.4
parotid__sym__absdiff__dose__wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
parotid__sym__max__dose__wavelet-HHL_firstorder_Mean,2,0.4
parotid__sym__max__dose__wavelet-HHL_glcm_MaximumProbability,2,0.4
parotid__sym__max__dose__wavelet-LLH_gldm_DependenceEntropy,2,0.4
parotid__sym__min__dose__original_glszm_SizeZoneNonUniformity,2,0.4
parotid__sym__min__dose__wavelet-HHL_glcm_SumSquares,2,0.4
parotid__sym__reldiff__dose__original_glcm_DifferenceAverage,2,0.4
parotid__sym__reldiff__dose__original_glcm_Id,2,0.4
parotid__sym__reldiff__dose__original_glcm_MCC,2,0.4
parotid__sym__reldiff__dose__original_gldm_LowGrayLevelEmphasis,2,0.4
parotid__sym__reldiff__dose__original_glrlm_LowGrayLevelRunEmphasis,2,0.4
submand_L__dose__log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
submand_R__dose__original_firstorder_Maximum,2,0.4
submand_R__dose__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,2,0.4
submand_R__dose__wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,2,0.4
submand__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,2,0.4
submand__sym__absdiff__dose__original_gldm_DependenceNonUniformityNormalized,2,0.4
submand__sym__absdiff__dose__original_glszm_ZonePercentage,2,0.4
